Frequency, Aproximate Re, Aproximate Im, Analytical Re, Analytical Im, Wave Number, Radial distance, Percent abs(z) error
1.78e+06,(-0.000841246,0.000436659),(0.000923737,0.000383027),0.037306,1000,1.7658
1.79e+06,(-0.00084885,0.000244844),(0.000983214,0.000182458),0.0375156,1000,1.83313
1.8e+06,(-0.000920699,4.39454e-05),(0.000999659,-2.60956e-05),0.0377252,1000,1.92164
1.81e+06,(-0.00111097,-0.000157243),(0.000972355,-0.000233507),0.0379348,1000,2.08472
1.82e+06,(-0.00128489,-0.000349917),(0.000902495,-0.000430699),0.0381444,1000,2.18888
1.83e+06,(-0.0014249,-0.000525645),(0.000793138,-0.000609042),0.038354,1000,2.2196
1.84e+06,(-0.00160018,-0.000676738),(0.000649069,-0.00076073),0.0385635,1000,2.25082
1.85e+06,(-0.00176969,-0.000796586),(0.000476593,-0.000879124),0.0387731,1000,2.2478
1.86e+06,(-0.00196645,-0.000879945),(0.000283259,-0.000959043),0.0389827,1000,2.2511
1.87e+06,(-0.002213,-0.00092317),(7.75284e-05,-0.00099699),0.0391923,1000,2.29172
1.88e+06,(-0.00239296,-0.000924367),(-0.000131595,-0.000991304),0.0394019,1000,2.26235
1.89e+06,(-0.00251359,-0.000883483),(-0.00033496,-0.000942232),0.0396115,1000,2.17943
1.9e+06,(-0.00262904,-0.000802304),(-0.000523665,-0.000851924),0.0398211,1000,2.10596
1.91e+06,(-0.00268022,-0.000684377),(-0.000689452,-0.000724332),0.0400306,1000,1.99117
1.92e+06,(-0.00271108,-0.000534856),(-0.000825064,-0.000565039),0.0402402,1000,1.88626
1.93e+06,(-0.00276581,-0.000360274),(-0.000924568,-0.000381017),0.0404498,1000,1.84136
1.94e+06,(-0.00273616,-0.000168259),(-0.000983608,-0.000180319),0.0406594,1000,1.75259
1.95e+06,(-0.00242261,3.27986e-05),(-0.0009996,2.82697e-05),0.040869,1000,1.42302
1.96e+06,(-0.00112192,0.000234116),(-0.000971845,0.000235621),0.0410786,1000,0.150086
1.97e+06,(2.0508e-06,0.000426901),(-0.000901557,0.000432661),0.0412881,1000,0.903626
1.98e+06,(-0.000713935,0.000602734),(-0.000791812,0.000610765),0.0414977,1000,0.0782895
1.99e+06,(2.74625e-05,0.000753939),(-0.000647413,0.00076214),0.0417073,1000,0.674925
2e+06,(5.3589e-05,0.000873919),(-0.00047468,0.000880158),0.0419169,1000,0.528306
